"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"type_en"
"Dierenkliniek Westerpark";"dierenkliniek_westerpark";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 26 ";"1013 SW";;"POINT(4.8814645283975 52.386908879788)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:21";"2016-09-08 17:43:21";"0000-00-00 00:00:00";"Klinieken";"Clinics"
"Dio drogisterij IJburg";"dio_drogisterij_ijburg";1;286;;"0000-00-00 00:00:00";"IJburglaan 723 ";"1087 BS";;"POINT(4.9908952297006 52.357684313688)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:21";"2016-09-08 17:43:21";"0000-00-00 00:00:00";"Winkels";"Stores"
"Dienstencentrum Oosterpark";"dienstencentrum_oosterpark";1;286;;"0000-00-00 00:00:00";"'s-Gravesandeplein 19 ";"1091 BB";;"POINT(4.915614876598 52.359466551483)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:21";"2016-09-08 17:43:21";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Doras - wijklocatie midden Noord";"doras_wijklocatie_midden_noord";1;286;;"0000-00-00 00:00:00";"Hagedoornplein 1 B";"1031 BV";;"POINT(4.9135050510247 52.38795810919)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:22";"2016-09-08 17:43:22";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Eetcafé Het Dijkhuis";"eetcafe_het_dijkhuis";1;286;;"0000-00-00 00:00:00";"Kanaaldijk 119 ";"1454 AE";;"POINT(4.9501376054864 52.422530517538)";;"WATERGANG";;;;;;;0;"2016-09-08 17:43:22";"2016-09-08 17:43:22";"0000-00-00 00:00:00";"Restaurants / eetgelegenheden";"Restaurants / eateries"
"BENU Apotheek Zeeburg";"benu_apotheek_zeeburg";1;286;;"0000-00-00 00:00:00";"Oostelijke Handelskade 1025 ";"1019 BW";;"POINT(4.9366935526328 52.374108708681)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:22";"2016-09-08 17:43:22";"0000-00-00 00:00:00";"Apotheken";"Pharmacies"
"Etos Haveneiland West";"etos_haveneiland_west";1;286;;"0000-00-00 00:00:00";"IJburglaan 657 ";"1087 BS";;"POINT(4.9900837052913 52.358148953847)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:22";"2016-09-08 17:43:22";"0000-00-00 00:00:00";"Winkels";"Stores"
"Europarking Q-Park Amsterdam";"europarking_q_park_amsterdam";1;286;;"0000-00-00 00:00:00";"Marnixstraat 250 ";"1016 TL";;"POINT(4.8767966307377 52.370036901703)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:23";"2016-09-08 17:43:23";"0000-00-00 00:00:00";"Parkeergarages";"Parking garages"
"Evean Henriette Roland Holsthuis oefenruimte";"evean_henriette_roland_holsthuis_oefenruimte";1;286;;"0000-00-00 00:00:00";"Kortvoort 100 ";"1104 NB";;"POINT(4.9703303671593 52.315380333917)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:23";"2016-09-08 17:43:23";"0000-00-00 00:00:00";"Sportaccommodaties";"Sports accommodations"
"Evean Korthagenhuis";"evean_korthagenhuis_1";1;286;;"0000-00-00 00:00:00";"Amerbos 590 ";"1025 ZZ";;"POINT(4.9401173316947 52.40448197321)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:23";"2016-09-08 17:43:23";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Nursing and care homes"
"Evean Twiskehuis";"evean_twiskehuis";1;286;;"0000-00-00 00:00:00";"Watermanstraat 2 ";"1033 AN";;"POINT(4.8803818076577 52.416087194493)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:24";"2016-09-08 17:43:24";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Nursing and care homes"
"EYE Film Instituut Nederland";"eye_film_instituut_nederland";1;286;;"0000-00-00 00:00:00";"IJpromenade 1 ";"1031 KT";;"POINT(4.9004051022305 52.385001969375)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:24";"2016-09-08 17:43:24";"0000-00-00 00:00:00";"Bioscopen en filmhuizen";"Cinemas and movie houses"
"Fabulous Hair";"fabulous_hair";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 47 ";"1013 ST";;"POINT(4.8797977199669 52.388798152666)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:24";"2016-09-08 17:43:24";"0000-00-00 00:00:00";"Uiterlijke verzorging";"Grooming"
"Werk, Participatie en inkomen; Terugvordering en Verhaal";"werk_participatie_en_inkomen_terugvordering_en_verhaal";1;286;;"0000-00-00 00:00:00";"Jan van Galenstraat 323 ";"1056 CH";;"POINT(4.843719109389 52.372055731528)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:25";"2016-09-08 17:43:25";"0000-00-00 00:00:00";"Sociale Dienst";"Social service"
"Eduard Douwes Dekkerhuis";"eduard_douwes_dekkerhuis";1;286;;"0000-00-00 00:00:00";"Schoenerstraat 11 ";"1034 XZ";;"POINT(4.9077535058099 52.404993537866)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:25";"2016-09-08 17:43:25";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Nursing and care homes"
"Flevoparkbad Zeeburg";"flevoparkbad_zeeburg";1;286;;"0000-00-00 00:00:00";"Insulindeweg 1002 ";"1095 DH";;"POINT(4.943057131588 52.361873540211)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:25";"2016-09-08 17:43:25";"0000-00-00 00:00:00";"Zwembaden";"Swimming pools"
"Filmhuis Rialto";"filmhuis_rialto";1;286;;"0000-00-00 00:00:00";"Ceintuurbaan 338 ";"1072 GN";;"POINT(4.8939440270116 52.353140749028)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:26";"2016-09-08 17:43:26";"0000-00-00 00:00:00";"Bioscopen en filmhuizen";"Cinemas and movie houses"
"Frascati";"frascati_1";1;286;;"0000-00-00 00:00:00";"Nes 63 ";"1012 KD";;"POINT(4.8934924691652 52.369981870157)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:26";"2016-09-08 17:43:26";"0000-00-00 00:00:00";"Theaters en concertgebouwen";"Theaters and concert halls"
"Fresh Fitness";"fresh_fitness";1;286;;"0000-00-00 00:00:00";"Tolstraat 57 -59";"1073 RW";;"POINT(4.9011202346275 52.351921139773)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:26";"2016-09-08 17:43:26";"0000-00-00 00:00:00";"Sportaccommodaties";"Sports accommodations"
"Fysio Novo";"fysio_novo";1;286;;"0000-00-00 00:00:00";"Makassarstraat 151 a";"1095 SV";;"POINT(4.9433742815115 52.363923924818)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:27";"2016-09-08 17:43:27";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
