"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"type_en"
"Hogeschool van Amsterdam  - Benno Premselahuis (BPH) ";"hogeschool_van_amsterdam_benno_premselahuis_bph";1;286;;"0000-00-00 00:00:00";"Rhijnspoorplein 1 ";"1091 GC";;"POINT(4.9090952789945 52.359620154905)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:39";"2016-09-08 17:43:39";"0000-00-00 00:00:00";"Onderwijsinstellingen en scholen";"Educational institutions and schools"
"Holendrechtschool";"holendrechtschool";1;286;;"0000-00-00 00:00:00";"Holendrechtplein 39 -40";"1106 LP";;"POINT(4.9655819358076 52.299589943907)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:39";"2016-09-08 17:43:39";"0000-00-00 00:00:00";"Onderwijsinstellingen en scholen";"Educational institutions and schools"
"Holland Casino Amsterdam";"holland_casino_amsterdam";1;286;;"0000-00-00 00:00:00";"Max Euweplein 62 ";"1017 MB";;"POINT(4.8831652456583 52.3626403229)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:40";"2016-09-08 17:43:40";"0000-00-00 00:00:00";"Toeristische attracties";"Tourist attractions"
"Hortus Botanicus Amsterdam";"hortus_botanicus_amsterdam";1;286;;"0000-00-00 00:00:00";"Plantage Middenlaan 2 a";"1018 DD";;"POINT(4.909852244844 52.367038075381)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:40";"2016-09-08 17:43:40";"0000-00-00 00:00:00";"Musea";"Museums"
"Het Ketelhuis";"het_ketelhuis";1;286;;"0000-00-00 00:00:00";"Pazzanistraat 4 ";"1014 DB";;"POINT(4.8729533642707 52.386171188283)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:40";"2016-09-08 17:43:40";"0000-00-00 00:00:00";"Bioscopen en filmhuizen";"Cinemas and movie houses"
"het Sieraad";"het_sieraad_3";1;286;;"0000-00-00 00:00:00";"Postjesweg 1 ";"1057 DT";;"POINT(4.8596655641811 52.364703984259)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:40";"2016-09-08 17:43:40";"0000-00-00 00:00:00";"Congres- en partyaccommodaties";"Conference and party accommodations"
"Hotel Double Tree by Hilton";"hotel_double_tree_by_hilton";1;286;;"0000-00-00 00:00:00";"Oosterdoksstraat 4 ";"1011 DK";;"POINT(4.9075770048787 52.37649293048)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:41";"2016-09-08 17:43:41";"0000-00-00 00:00:00";"Hotels";"Hotels"
"Huisartsenpraktijk De Bankwerkerij";"huisartsenpraktijk_de_bankwerkerij";1;286;;"0000-00-00 00:00:00";"Bankwerkerij 89 ";"1021 NT";;"POINT(4.9173786292489 52.382832590456)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:41";"2016-09-08 17:43:41";"0000-00-00 00:00:00";"Huisartsen";"GPs"
"Huisartsenpraktijk Gortzak";"huisartsenpraktijk_gortzak";1;286;;"0000-00-00 00:00:00";"James Wattstraat 68 ";"1097 DM";;"POINT(4.9243472146923 52.351241298652)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:41";"2016-09-08 17:43:41";"0000-00-00 00:00:00";"Huisartsen";"GPs"
"Huisartsenpraktijk Kuipersstraat 151";"huisartsenpraktijk_kuipersstraat_151";1;286;;"0000-00-00 00:00:00";"Kuipersstraat 151 A";"1073 ER";;"POINT(4.8999634980323 52.353003900594)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:42";"2016-09-08 17:43:42";"0000-00-00 00:00:00";"Huisartsen";"GPs"
"Huisartsenpraktijk Rustenburgerstraat";"huisartsenpraktijk_rustenburgerstraat";1;286;;"0000-00-00 00:00:00";"Rustenburgerstraat 144 ";"1073 GJ";;"POINT(4.9005526579693 52.352817581732)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:42";"2016-09-08 17:43:42";"0000-00-00 00:00:00";"Huisartsen";"GPs"
"Huisartsenpraktijk Westlandgracht";"huisartsenpraktijk_westlandgracht";1;286;;"0000-00-00 00:00:00";"Westlandgracht 91 ";"1058 TR";;"POINT(4.8461137155876 52.352707071333)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:42";"2016-09-08 17:43:42";"0000-00-00 00:00:00";"Huisartsen";"GPs"
"Huisartsenpraktijk Zeeburg";"huisartsenpraktijk_zeeburg";1;286;;"0000-00-00 00:00:00";"Halmaheirastraat 3 ";"1094 RD";;"POINT(4.9389974166367 52.361193150293)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:43";"2016-09-08 17:43:43";"0000-00-00 00:00:00";"Huisartsen";"GPs"
"Huis van de wijk De Evenaar";"huis_van_de_wijk_de_evenaar";1;286;;"0000-00-00 00:00:00";"Kometensingel 189 ";"1033 BE";;"POINT(4.8852943098432 52.414517294278)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:43";"2016-09-08 17:43:43";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"IJzerhandel Spaarndam";"ijzerhandel_spaarndam";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 135 ";"1013 TE";;"POINT(4.8781566399491 52.390993093631)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:43";"2016-09-08 17:43:43";"0000-00-00 00:00:00";"Winkels";"Stores"
"Huisartsen,- en psychologenpraktijk De Oostkaap";"huisartsen_en_psychologenpraktijk_de_oostkaap";1;286;;"0000-00-00 00:00:00";"Oostelijke Handelskade 140 ";"1019 BP";;"POINT(4.9384470777427 52.373513192487)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:44";"2016-09-08 17:43:44";"0000-00-00 00:00:00";"Huisartsen";"GPs"
"Ilona's kapsalon";"ilona_s_kapsalon";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 117 ";"1013 TD";;"POINT(4.8784121427111 52.390490881161)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:44";"2016-09-08 17:43:44";"0000-00-00 00:00:00";"Uiterlijke verzorging";"Grooming"
"In de Waag";"in_de_waag";1;286;;"0000-00-00 00:00:00";"Nieuwmarkt 4 ";"1012 CR";;"POINT(4.9002438951913 52.372930834682)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:44";"2016-09-08 17:43:44";"0000-00-00 00:00:00";"Restaurants / eetgelegenheden";"Restaurants / eateries"
"Internationaal Instituut voor Sociale Geschiedenis";"internationaal_instituut_voor_sociale_geschiedenis";1;286;;"0000-00-00 00:00:00";"Cruquiusweg 31 ";"1019 AT";;"POINT(4.9372056601246 52.368502339603)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:44";"2016-09-08 17:43:44";"0000-00-00 00:00:00";"Musea";"Museums"
"Huisartsenpost Boven t Ij";"huisartsenpost_boven_t_ij";1;286;;"0000-00-00 00:00:00";"Statenjachtstraat 1 ";"1034 CS";;"POINT(4.9213386591446 52.405739786533)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:45";"2016-09-08 17:43:45";"0000-00-00 00:00:00";"Huisartsenposten";"GPs"
"Jan Woudsmaschool";"jan_woudsmaschool";1;286;;"0000-00-00 00:00:00";"Jaargetijden 4 ";"1109 AR";;"POINT(5.0184138812477 52.305302937773)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:45";"2016-09-08 17:43:45";"0000-00-00 00:00:00";"Onderwijsinstellingen en scholen";"Educational institutions and schools"
"Janan Fashion";"janan_fashion";1;286;;"0000-00-00 00:00:00";"Knollendamstraat 2 hs";"1013 TN";;"POINT(4.8776041095623 52.390496394904)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:45";"2016-09-08 17:43:45";"0000-00-00 00:00:00";"Winkels";"Stores"
"Jane Flowers";"jane_flowers";1;286;;"0000-00-00 00:00:00";"IJburglaan 663 ";"1087 BS";;"POINT(4.9901575028693 52.358104262952)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:46";"2016-09-08 17:43:46";"0000-00-00 00:00:00";"Winkels";"Stores"
"Jelle Snacks en ijs";"jelle_snacks_en_ijs";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 87 A";"1013 TC";;"POINT(4.8786802673695 52.390168476012)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:46";"2016-09-08 17:43:46";"0000-00-00 00:00:00";"Restaurants / eetgelegenheden";"Restaurants / eateries"
"Jeugdtheater De Krakeling";"jeugdtheater_de_krakeling_2";1;286;;"0000-00-00 00:00:00";"Nieuwe Passeerdersstraat 1 ";"1016 XP";;"POINT(4.8789672446122 52.366415198024)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:46";"2016-09-08 17:43:46";"0000-00-00 00:00:00";"Theaters en concertgebouwen";"Theaters and concert halls"
"Johnny?s Pizza Express";"johnny_s_pizza_express";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 93 A";"1013 TC";;"POINT(4.8787398500963 52.390096830337)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:47";"2016-09-08 17:43:47";"0000-00-00 00:00:00";"Restaurants / eetgelegenheden";"Restaurants / eateries"
"Jongerencentrum Subway";"jongerencentrum_subway";1;286;;"0000-00-00 00:00:00";"Reewijkplein 12 ";"1106 AT";;"POINT(4.9747156531867 52.296386543756)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:47";"2016-09-08 17:43:47";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Joods Historisch Museum";"joods_historisch_museum";1;286;;"0000-00-00 00:00:00";"Nieuwe Amstelstraat 1 ";"1011 PL";;"POINT(4.9028358610361 52.366865775284)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:47";"2016-09-08 17:43:47";"0000-00-00 00:00:00";"Musea";"Museums"
"Kadoriënt";"kadorient";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 95 ";"1013 TC";;"POINT(4.8786802673695 52.390168476012)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:48";"2016-09-08 17:43:48";"0000-00-00 00:00:00";"Winkels";"Stores"
"Kamer van Koophandel";"kamer_van_koophandel";1;286;;"0000-00-00 00:00:00";"De Ruyterkade 5 ";"1013 AA";;"POINT(4.8951471977696 52.38230190936)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:48";"2016-09-08 17:43:48";"0000-00-00 00:00:00";"Openbare gebouwen";"Public buildings"
"Kapsalon Tina";"kapsalon_tina";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 97 ";"1013 TC";;"POINT(4.8786802673695 52.390168476012)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:48";"2016-09-08 17:43:48";"0000-00-00 00:00:00";"Uiterlijke verzorging";"Grooming"
"Keurslagerij John de Roode";"keurslagerij_john_de_roode";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 127 ";"1013 TE";;"POINT(4.8781566399491 52.390993093631)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:48";"2016-09-08 17:43:48";"0000-00-00 00:00:00";"Winkels";"Stores"
"KNHS HandboogSchutterij Concordia";"knhs_handboogschutterij_concordia";1;286;;"0000-00-00 00:00:00";"Abe Lenstralaan 10 ";"1067 MV";;"POINT(4.7971561095114 52.370880133519)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:49";"2016-09-08 17:43:49";"0000-00-00 00:00:00";"Sportaccommodaties";"Sports accommodations"
"Knijn Bowling & restaurant";"knijn_bowling_restaurant";1;286;;"0000-00-00 00:00:00";"Scheldeplein 3 ";"1078 GR";;"POINT(4.8912541616803 52.344285560266)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:49";"2016-09-08 17:43:49";"0000-00-00 00:00:00";"Congres- en partyaccommodaties";"Conference and party accommodations"
"Koffiehuis KHL";"koffiehuis_khl";1;286;;"0000-00-00 00:00:00";"Oostelijke Handelskade 44 ";"1019 BN";;"POINT(4.9359442871984 52.374141806394)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:49";"2016-09-08 17:43:49";"0000-00-00 00:00:00";"Restaurants / eetgelegenheden";"Restaurants / eateries"
"Koningskerk ";"koningskerk";1;286;;"0000-00-00 00:00:00";"Van 't Hofflaan 20 ";"1097 EP";;"POINT(4.9365295758739 52.348331346697)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:50";"2016-09-08 17:43:50";"0000-00-00 00:00:00";"Kerkgebouwen";"Church buildings"
"IJkantine";"ijkantine";1;286;;"0000-00-00 00:00:00";"mt. Ondinaweg 15 -17";"1033 RE";;"POINT(4.8912123437869 52.401869637018)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:50";"2016-09-08 17:43:50";"0000-00-00 00:00:00";"Congres- en partyaccommodaties";"Conference and party accommodations"
"Huisartsenpraktijk Kraaienest";"huisartsenpraktijk_kraaienest";1;286;;"0000-00-00 00:00:00";"Kraaiennest 69 ";"1104 CE";;"POINT(4.9822548659373 52.31682384199)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:50";"2016-09-08 17:43:50";"0000-00-00 00:00:00";"Huisartsen";"GPs"
"Kriterion ";"kriterion_2";1;286;;"0000-00-00 00:00:00";"Roetersstraat 170 ";"1018 WE";;"POINT(4.9109133473793 52.36256646781)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:51";"2016-09-08 17:43:51";"0000-00-00 00:00:00";"Theaters en concertgebouwen";"Theaters and concert halls"
"Kruidvat Christiaan Huygensplein";"kruidvat_christiaan_huygensplein";1;286;;"0000-00-00 00:00:00";"Christiaan Huygensplein 34 ";"1098 RC";;"POINT(4.9394794893691 52.349789565601)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:51";"2016-09-08 17:43:51";"0000-00-00 00:00:00";"Winkels";"Stores"
"Le Sud";"le_sud";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 143 ";"1013 TG";;"POINT(4.8780039611472 52.391495747624)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:51";"2016-09-08 17:43:51";"0000-00-00 00:00:00";"Winkels";"Stores"
"Liberaal Joodse Gemeente";"liberaal_joodse_gemeente";1;286;;"0000-00-00 00:00:00";"Zuidelijke Wandelweg 41 ";"1079 RK";;"POINT(4.8979839704139 52.338174928113)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:52";"2016-09-08 17:43:52";"0000-00-00 00:00:00";"Kerkgebouwen";"Church buildings"
"Lloyd hotel en restaurant";"lloyd_hotel_en_restaurant";1;286;;"0000-00-00 00:00:00";"Oostelijke Handelskade 34 A";"1019 BN";;"POINT(4.9359442871984 52.374141806394)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:52";"2016-09-08 17:43:52";"0000-00-00 00:00:00";"Hotels";"Hotels"
"Logopedie praktijk Zeeburg";"logopedie_praktijk_zeeburg";1;286;;"0000-00-00 00:00:00";"Oostelijke Handelskade 12 N";"1019 BM";;"POINT(4.9321485425612 52.374828319586)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:52";"2016-09-08 17:43:52";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"Ikea Amsterdam Zuidoost";"ikea_amsterdam_zuidoost";1;286;;"0000-00-00 00:00:00";"Hullenbergweg 2 ";"1101 BL";;"POINT(4.9487020340821 52.303168626766)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:53";"2016-09-08 17:43:53";"0000-00-00 00:00:00";"Warenhuizen";"Department stores"
"Multifunctioneel Centrum Binnenhof";"multifunctioneel_centrum_binnenhof";1;286;;"0000-00-00 00:00:00";"Arent Janszoon Ernststraat 112 ";"1082 LP";;"POINT(4.8785528156612 52.332125114787)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:53";"2016-09-08 17:43:53";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Jaap Edenbaan";"jaap_edenbaan";1;286;;"0000-00-00 00:00:00";"Radioweg 64 ";"1098 NJ";;"POINT(4.9424136592132 52.351373478944)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:53";"2016-09-08 17:43:53";"0000-00-00 00:00:00";"Sportaccommodaties";"Sports accommodations"
"Koninklijk Theater Carré";"koninklijk_theater_carre_1";1;286;;"0000-00-00 00:00:00";"Amstel 115 ";"1018 EM";;"POINT(4.9037636826345 52.362564450985)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:54";"2016-09-08 17:43:54";"0000-00-00 00:00:00";"Theaters en concertgebouwen";"Theaters and concert halls"
"Loods 6";"loods_6";1;286;;"0000-00-00 00:00:00";"Knsm-Laan 143 ";"1019 LB";;"POINT(4.9395274228172 52.377049439281)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:54";"2016-09-08 17:43:54";"0000-00-00 00:00:00";"Galeries";"Galleries"
"Mee Amstel Zaan";"mee_amstel_zaan";1;286;;"0000-00-00 00:00:00";"Derkinderenstraat 10 -24";"1062 DB";;"POINT(4.8407237094758 52.358928810196)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:54";"2016-09-08 17:43:54";"0000-00-00 00:00:00";"Informatiecentra";"Information centers"
"Molen van Sloten; kuiperijmuseum";"molen_van_sloten_kuiperijmuseum";1;286;;"0000-00-00 00:00:00";"Akersluis 10 ";"1066 EZ";;"POINT(4.7922071332383 52.34135739117)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:55";"2016-09-08 17:43:55";"0000-00-00 00:00:00";"Toeristische attracties";"Tourist attractions"
"Multifunctioneel Centrum de Edelsteen";"multifunctioneel_centrum_de_edelsteen";1;286;;"0000-00-00 00:00:00";"Smaragdplein 3 -5";"1074 HA";;"POINT(4.9059161154753 52.350907147158)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:55";"2016-09-08 17:43:55";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Machinegebouw - Westergasterrein";"machinegebouw_westergasterrein";1;286;;"0000-00-00 00:00:00";"Pazzanistraat 8 ";"1014 DB";;"POINT(4.8729533642707 52.386171188283)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:55";"2016-09-08 17:43:55";"0000-00-00 00:00:00";"Congres- en partyaccommodaties";"Conference and party accommodations"
"Madame Tussaud's' Wassenbeelden";"madame_tussaud_s_wassenbeelden";1;286;;"0000-00-00 00:00:00";"Dam 20 ";"1012 NP";;"POINT(4.8927203562872 52.373384990483)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:55";"2016-09-08 17:43:55";"0000-00-00 00:00:00";"Toeristische attracties";"Tourist attractions"
"Magna Plaza Shopping Centre";"magna_plaza_shopping_centre";1;286;;"0000-00-00 00:00:00";"Nieuwezijds Voorburgwal 182 ";"1012 SJ";;"POINT(4.8913281045815 52.374448705274)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:56";"2016-09-08 17:43:56";"0000-00-00 00:00:00";"Warenhuizen";"Department stores"
"Mammae Mia";"mammae_mia";1;286;;"0000-00-00 00:00:00";"Derde Oosterparkstraat 136 C";"1092 EC";;"POINT(4.9193976346438 52.357126777433)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:56";"2016-09-08 17:43:56";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"Manege Nieuw Amstelland";"manege_nieuw_amstelland";1;286;;"0000-00-00 00:00:00";"Jan Tooropplantsoen 17 ";"1182 AC";;"POINT(4.8553095363589 52.321462234357)";;"AMSTELVEEN";;;;;;;0;"2016-09-08 17:43:56";"2016-09-08 17:43:56";"0000-00-00 00:00:00";"Sportaccommodaties";"Sports accommodations"
"Multifunctioneel Centrum De Tagerijn";"multifunctioneel_centrum_de_tagerijn";1;286;;"0000-00-00 00:00:00";"Balboastraat 20 ";"1057 VW";;"POINT(4.8546202787841 52.369157290822)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:57";"2016-09-08 17:43:57";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Politiebureau Meer en Vaart";"politiebureau_meer_en_vaart";1;286;;"0000-00-00 00:00:00";"Meer en Vaart 284 ";"1068 LE";;"POINT(4.8063837162649 52.36144365745)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:57";"2016-09-08 17:43:57";"0000-00-00 00:00:00";"Politiebureaus";"Police stations"
"Kip in het IJ";"kip_in_het_ij";1;286;;"0000-00-00 00:00:00";"Plantage Kerklaan 41 ";"1018 CV";;"POINT(4.9121154750407 52.366840461355)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:57";"2016-09-08 17:43:57";"0000-00-00 00:00:00";"Restaurants / eetgelegenheden";"Restaurants / eateries"
"Miele Witgoedcenter";"miele_witgoedcenter";1;286;;"0000-00-00 00:00:00";"Hogeweg 26 ";"1098 CC";;"POINT(4.9317856719727 52.354388891358)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:58";"2016-09-08 17:43:58";"0000-00-00 00:00:00";"Winkels";"Stores"
"Miranda Paviljoen";"miranda_paviljoen";1;286;;"0000-00-00 00:00:00";"Amsteldijk 223 ";"1079 LK";;"POINT(4.9066403753453 52.33823736016)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:58";"2016-09-08 17:43:58";"0000-00-00 00:00:00";"Congres- en partyaccommodaties";"Conference and party accommodations"
"NEMO";"nemo";1;286;;"0000-00-00 00:00:00";"Oosterdok 2 ";"1011 VX";;"POINT(4.9120578175657 52.372223864421)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:58";"2016-09-08 17:43:58";"0000-00-00 00:00:00";"Toeristische attracties";"Tourist attractions"
"Mondhygiene praktijk van den Berg & Verburg";"mondhygiene_praktijk_van_den_berg_verburg";1;286;;"0000-00-00 00:00:00";"Hugo de Vrieslaan 125 ";"1097 EK";;"POINT(4.9304290800923 52.34785857496)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:58";"2016-09-08 17:43:58";"0000-00-00 00:00:00";"Tandartsen";"Dentists"
"Mondzorg Centrum IJburg";"mondzorg_centrum_ijburg";1;286;;"0000-00-00 00:00:00";"IJburglaan 393 ";"1086 ZJ";;"POINT(4.9842276206003 52.361265866916)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:59";"2016-09-08 17:43:59";"0000-00-00 00:00:00";"Tandartsen";"Dentists"
"Huis van Sant?Egidio (Mozes en Aaronkerk)";"huis_van_sant_egidio_mozes_en_aaronkerk";1;286;;"0000-00-00 00:00:00";"Waterlooplein 205 ";"1011 PG";;"POINT(4.902153617514 52.367492122138)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:59";"2016-09-08 17:43:59";"0000-00-00 00:00:00";"Kerkgebouwen";"Church buildings"
"Oostblok (Muiderpoorttheater)";"oostblok_muiderpoorttheater";1;286;;"0000-00-00 00:00:00";"Tweede van Swindenstraat 26 ";"1093 VS";;"POINT(4.9254721641751 52.361617520771)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:59";"2016-09-08 17:43:59";"0000-00-00 00:00:00";"Theaters en concertgebouwen";"Theaters and concert halls"
"OBS Nellestein";"obs_nellestein";1;286;;"0000-00-00 00:00:00";"Leksmondplein 31 ";"1108 EL";;"POINT(4.9802290776706 52.309024495709)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:44:00";"2016-09-08 17:44:00";"0000-00-00 00:00:00";"Onderwijsinstellingen en scholen";"Educational institutions and schools"
"Multifunctioneel Centrum Chassé";"multifunctioneel_centrum_chasse";1;286;;"0000-00-00 00:00:00";"Chassestraat 91 ";"1057 JB";;"POINT(4.861170369382 52.370283077552)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:00";"2016-09-08 17:44:00";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Oosterkerk";"oosterkerk";1;286;;"0000-00-00 00:00:00";"Kleine Wittenburgerstraat 1 ";"1018 LS";;"POINT(4.9198335137963 52.370097764519)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:00";"2016-09-08 17:44:00";"0000-00-00 00:00:00";"Kerkgebouwen";"Church buildings"
"Museum Het Schip";"museum_het_schip";1;286;;"0000-00-00 00:00:00";"Spaarndammerplantsoen 140 ";"1013 XT";;"POINT(4.8754036737023 52.390226263782)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:01";"2016-09-08 17:44:01";"0000-00-00 00:00:00";"Musea";"Museums"
"Museum Plaza, British Council";"museum_plaza_british_council";1;286;;"0000-00-00 00:00:00";"Weteringschans 85 A";"1017 RZ";;"POINT(4.8871183393388 52.360994357102)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:01";"2016-09-08 17:44:01";"0000-00-00 00:00:00";"Onderwijsinstellingen en scholen";"Educational institutions and schools"
"Museum Van Loon";"museum_van_loon";1;286;;"0000-00-00 00:00:00";"Keizersgracht 672 ";"1017 ET";;"POINT(4.8929767460998 52.36355349899)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:01";"2016-09-08 17:44:01";"0000-00-00 00:00:00";"Musea";"Museums"
"Muziekgebouw aan 't IJ ";"muziekgebouw_aan_t_ij_1";1;286;;"0000-00-00 00:00:00";"Piet Heinkade 1 ";"1019 BR";;"POINT(4.9124719054604 52.377438387709)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:02";"2016-09-08 17:44:02";"0000-00-00 00:00:00";"Theaters en concertgebouwen";"Theaters and concert halls"
"Muziekschool Amsterdam Noord";"muziekschool_amsterdam_noord";1;286;;"0000-00-00 00:00:00";"Alkmaarstraat 10 ";"1024 TT";;"POINT(4.9509266012957 52.394662845192)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:02";"2016-09-08 17:44:02";"0000-00-00 00:00:00";"Educatieve centra";"Educational centers"
"Drostenburg (Mytyl tytylschool Orion colllege)";"drostenburg_mytyl_tytylschool_orion_colllege";1;286;;"0000-00-00 00:00:00";"Drostenburg 1 ";"1102 AM";;"POINT(4.9468627325327 52.321595742812)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:44:02";"2016-09-08 17:44:02";"0000-00-00 00:00:00";"Onderwijsinstellingen en scholen";"Educational institutions and schools"
"Nieuwe Kafe";"nieuwe_kafe";1;286;;"0000-00-00 00:00:00";"Eggertstraat 8 ";"1012 NN";;"POINT(4.8921602581369 52.373571391979)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:03";"2016-09-08 17:44:03";"0000-00-00 00:00:00";"Restaurants / eetgelegenheden";"Restaurants / eateries"
"Nieuwe Kerk";"nieuwe_kerk";1;286;;"0000-00-00 00:00:00";"Gravenstraat 17 ";"1012 NL";;"POINT(4.8923739015829 52.374165473669)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:03";"2016-09-08 17:44:03";"0000-00-00 00:00:00";"Kerkgebouwen";"Church buildings"
"Nowhere";"nowhere";1;286;;"0000-00-00 00:00:00";"Madurastraat 90 ";"1094 GS";;"POINT(4.9363676387387 52.364274934626)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:44:03";"2016-09-08 17:44:03";"0000-00-00 00:00:00";"Educatieve centra";"Educational centers"
